id,preco,area_privativa,vagas,idade_aparente,distancia_centro_km,fonte_link
AP-001,750000.0,85.0,2,5.0,1.2,https://portalimoveis.com.br/anuncio/001
AP-002,820000.0,92.5,2,8.0,1.8,https://portalimoveis.com.br/anuncio/002
AP-003,690000.0,78.0,1,12.0,2.5,https://portalimoveis.com.br/anuncio/003
AP-004,1200000.0,115.0,3,2.0,0.8,https://portalimoveis.com.br/anuncio/004
AP-005,580000.0,65.0,1,20.0,4.2,https://portalimoveis.com.br/anuncio/005
AP-006,950000.0,105.0,2,4.0,1.5,https://portalimoveis.com.br/anuncio/006
AP-007,710000.0,80.0,1,10.0,2.1,https://portalimoveis.com.br/anuncio/007
AP-008,640000.0,72.0,1,15.0,3.0,https://portalimoveis.com.br/anuncio/008
AP-009,2400000.0,120.0,3,1.0,0.5,https://portalimoveis.com.br/anuncio/009
AP-010,880000.0,98.0,2,6.0,1.9,https://portalimoveis.com.br/anuncio/010
AP-011,620000.0,70.0,1,18.0,3.8,https://portalimoveis.com.br/anuncio/011
AP-012,790000.0,88.0,2,7.0,1.4,https://portalimoveis.com.br/anuncio/012
AP-013,910000.0,100.0,2,3.0,1.1,https://portalimoveis.com.br/anuncio/013
AP-014,320000.0,80.0,1,25.0,5.0,https://portalimoveis.com.br/anuncio/014
AP-015,840000.0,94.0,2,5.0,1.6,https://portalimoveis.com.br/anuncio/015
AP-016,770000.0,86.0,2,9.0,2.0,https://portalimoveis.com.br/anuncio/016
AP-017,690000.0,76.0,1,11.0,2.3,https://portalimoveis.com.br/anuncio/017
AP-018,980000.0,108.0,3,2.0,0.9,https://portalimoveis.com.br/anuncio/018
AP-019,610000.0,68.0,1,16.0,3.5,https://portalimoveis.com.br/anuncio/019
AP-020,860000.0,95.0,2,4.0,1.3,https://portalimoveis.com.br/anuncio/020
AP-021,730000.0,82.0,1,6.0,1.7,https://portalimoveis.com.br/anuncio/021
AP-022,890000.0,99.0,2,3.0,1.0,https://portalimoveis.com.br/anuncio/022
AP-023,540000.0,60.0,1,22.0,4.5,https://portalimoveis.com.br/anuncio/023
AP-024,1050000.0,110.0,2,1.0,0.7,https://portalimoveis.com.br/anuncio/024
AP-025,670000.0,74.0,1,14.0,2.8,https://portalimoveis.com.br/anuncio/025
AP-026,810000.0,90.0,2,7.0,1.5,https://portalimoveis.com.br/anuncio/026
AP-027,1350000.0,62.0,1,18.0,3.9,https://portalimoveis.com.br/anuncio/027
AP-028,760000.0,84.0,2,8.0,1.9,https://portalimoveis.com.br/anuncio/028
AP-029,930000.0,102.0,2,4.0,1.2,https://portalimoveis.com.br/anuncio/029
AP-030,590000.0,66.0,1,19.0,4.0,https://portalimoveis.com.br/anuncio/030
AP-031,870000.0,96.0,2,5.0,1.4,https://portalimoveis.com.br/anuncio/031
AP-032,700000.0,79.0,1,10.0,2.2,https://portalimoveis.com.br/anuncio/032
AP-033,1120000.0,112.0,3,2.0,0.8,https://portalimoveis.com.br/anuncio/033
AP-034,630000.0,71.0,1,17.0,3.2,https://portalimoveis.com.br/anuncio/034
AP-035,800000.0,89.0,2,6.0,1.6,https://portalimoveis.com.br/anuncio/035
