id,preco,areaprivativa,vagas,idadeaparente,distanciacentrokm,fontelink,valor_unitario
AP-001,750000.0,85.0,2,5.0,1.2,https://portalimoveis.com.br/anuncio/001,8823.529411764706
AP-002,820000.0,92.5,2,8.0,1.8,https://portalimoveis.com.br/anuncio/002,8864.864864864865
AP-003,690000.0,78.0,1,12.0,2.5,https://portalimoveis.com.br/anuncio/003,8846.153846153846
AP-005,580000.0,65.0,1,20.0,4.2,https://portalimoveis.com.br/anuncio/005,8923.076923076924
AP-006,950000.0,105.0,2,4.0,1.5,https://portalimoveis.com.br/anuncio/006,9047.619047619048
AP-007,710000.0,80.0,1,10.0,2.1,https://portalimoveis.com.br/anuncio/007,8875.0
AP-008,640000.0,72.0,1,15.0,3.0,https://portalimoveis.com.br/anuncio/008,8888.888888888889
AP-010,880000.0,98.0,2,6.0,1.9,https://portalimoveis.com.br/anuncio/010,8979.591836734693
AP-011,620000.0,70.0,1,18.0,3.8,https://portalimoveis.com.br/anuncio/011,8857.142857142857
AP-012,790000.0,88.0,2,7.0,1.4,https://portalimoveis.com.br/anuncio/012,8977.272727272728
AP-013,910000.0,100.0,2,3.0,1.1,https://portalimoveis.com.br/anuncio/013,9100.0
AP-015,840000.0,94.0,2,5.0,1.6,https://portalimoveis.com.br/anuncio/015,8936.170212765957
AP-016,770000.0,86.0,2,9.0,2.0,https://portalimoveis.com.br/anuncio/016,8953.488372093023
AP-017,690000.0,76.0,1,11.0,2.3,https://portalimoveis.com.br/anuncio/017,9078.947368421052
AP-018,980000.0,108.0,3,2.0,0.9,https://portalimoveis.com.br/anuncio/018,9074.074074074077
AP-019,610000.0,68.0,1,16.0,3.5,https://portalimoveis.com.br/anuncio/019,8970.588235294117
AP-020,860000.0,95.0,2,4.0,1.3,https://portalimoveis.com.br/anuncio/020,9052.631578947368
