id,preco,areaprivativa,vagas,idadeaparente,distanciacentrokm,fontelink,valor_unitario,valor_ajustado,residuo
AP-001,750000.0,85.0,2,5.0,1.2,https://portalimoveis.com.br/anuncio/001,8823.529411764706,758141.1899932448,-8141.189993244829
AP-002,820000.0,92.5,2,8.0,1.8,https://portalimoveis.com.br/anuncio/002,8864.864864864865,831270.9411130415,-11270.941113041481
AP-003,690000.0,78.0,1,12.0,2.5,https://portalimoveis.com.br/anuncio/003,8846.153846153846,696955.6393899992,-6955.639389999211
AP-005,580000.0,65.0,1,20.0,4.2,https://portalimoveis.com.br/anuncio/005,8923.076923076924,576882.7122507703,3117.2877492296975
AP-006,950000.0,105.0,2,4.0,1.5,https://portalimoveis.com.br/anuncio/006,9047.619047619048,949981.9981220905,18.00187790952623
AP-007,710000.0,80.0,1,10.0,2.1,https://portalimoveis.com.br/anuncio/007,8875.0,715090.5660065018,-5090.566006501787
AP-008,640000.0,72.0,1,15.0,3.0,https://portalimoveis.com.br/anuncio/008,8888.888888888889,640842.9341045208,-842.9341045208275
AP-010,880000.0,98.0,2,6.0,1.9,https://portalimoveis.com.br/anuncio/010,8979.591836734693,884069.8614843733,-4069.8614843733376
AP-011,620000.0,70.0,1,18.0,3.8,https://portalimoveis.com.br/anuncio/011,8857.142857142857,623683.9648800015,-3683.9648800014984
AP-012,790000.0,88.0,2,7.0,1.4,https://portalimoveis.com.br/anuncio/012,8977.272727272728,787295.4947019651,2704.50529803487
AP-013,910000.0,100.0,2,3.0,1.1,https://portalimoveis.com.br/anuncio/013,9100.0,901228.8307088927,8771.169291107333
AP-015,840000.0,94.0,2,5.0,1.6,https://portalimoveis.com.br/anuncio/015,8936.170212765957,845116.1254234143,-5116.125423414283
AP-016,770000.0,86.0,2,9.0,2.0,https://portalimoveis.com.br/anuncio/016,8953.488372093023,769648.5467814542,351.4532185457647
AP-017,690000.0,76.0,1,11.0,2.3,https://portalimoveis.com.br/anuncio/017,9078.947368421052,677356.7766855217,12643.223314478295
AP-018,980000.0,108.0,3,2.0,0.9,https://portalimoveis.com.br/anuncio/018,9074.074074074077,974653.7061443351,5346.293855664902
AP-019,610000.0,68.0,1,16.0,3.5,https://portalimoveis.com.br/anuncio/019,8970.588235294117,603841.1128275283,6158.887172471732
AP-020,860000.0,95.0,2,4.0,1.3,https://portalimoveis.com.br/anuncio/020,9052.631578947368,853939.5993836697,6060.4006163303275
